timestamp,current_speed_ms
2018-04-06T05:47:30Z,3.669
2018-04-06T06:02:30Z,3.83
2018-04-06T06:17:30Z,3.556
2018-04-06T06:32:30Z,3.689
2018-04-06T06:47:30Z,3.285
2018-04-06T07:02:30Z,2.929
2018-04-06T07:17:30Z,2.889
2018-04-06T07:32:30Z,2.521
2018-04-06T07:47:30Z,2.334
2018-04-06T08:02:30Z,1.75
2018-04-06T08:17:30Z,1.373
2018-04-06T08:32:30Z,0.73
2018-04-06T08:47:30Z,0.251
2018-04-06T09:02:30Z,0.525
2018-04-06T09:17:30Z,1.474
2018-04-06T09:32:30Z,2.285
2018-04-06T09:47:30Z,2.508
2018-04-06T10:02:30Z,2.437
2018-04-06T10:17:30Z,2.856
2018-04-06T10:32:30Z,2.771
2018-04-06T10:47:30Z,2.707
2018-04-06T11:02:30Z,2.863
2018-04-06T11:17:30Z,2.948
2018-04-06T11:32:30Z,2.846
2018-04-06T11:47:30Z,2.734
2018-04-06T12:02:30Z,2.58
2018-04-06T12:17:30Z,2.533
2018-04-06T12:32:30Z,2.324
2018-04-06T12:47:30Z,2.089
2018-04-06T13:02:30Z,1.901
2018-04-06T13:17:30Z,1.756
2018-04-06T13:32:30Z,1.478
2018-04-06T13:47:30Z,1.295
2018-04-06T14:02:30Z,1.057
2018-04-06T14:17:30Z,0.733
2018-04-06T14:32:30Z,0.379
2018-04-06T14:47:30Z,0.22
2018-04-06T15:02:30Z,0.745
2018-04-06T15:17:30Z,1.087
2018-04-06T15:32:30Z,1.291
2018-04-06T15:47:30Z,1.698
2018-04-06T16:02:30Z,2.014
2018-04-06T16:17:30Z,2.386
2018-04-06T16:32:30Z,2.822
2018-04-06T16:47:30Z,2.971
2018-04-06T17:02:30Z,3.293
2018-04-06T17:17:30Z,3.765
2018-04-06T17:32:30Z,3.434
2018-04-06T17:47:30Z,3.618
2018-04-06T18:02:30Z,3.567
2018-04-06T18:17:30Z,3.542
2018-04-06T18:32:30Z,3.504
2018-04-06T18:47:30Z,3.375
2018-04-06T19:02:30Z,3.227
2018-04-06T19:17:30Z,3.369
2018-04-06T19:32:30Z,2.711
2018-04-06T19:47:30Z,2.569
2018-04-06T20:02:30Z,2.319
2018-04-06T20:17:30Z,1.96
2018-04-06T20:32:30Z,1.468
2018-04-06T20:47:30Z,0.908
2018-04-06T21:02:30Z,0.398
2018-04-06T21:17:30Z,0.184
2018-04-06T21:32:30Z,0.485
2018-04-06T21:47:30Z,1.257
2018-04-06T22:02:30Z,2.42
2018-04-06T22:17:30Z,2.128
2018-04-06T22:32:30Z,2.357
2018-04-06T22:47:30Z,2.655
2018-04-06T23:02:30Z,2.572
2018-04-06T23:17:30Z,2.693
2018-04-06T23:32:30Z,2.753
2018-04-06T23:47:30Z,2.748
2018-04-07T00:02:30Z,2.615
2018-04-07T00:17:30Z,2.482
2018-04-07T00:32:30Z,2.421
2018-04-07T00:47:30Z,2.2
2018-04-07T01:02:30Z,2.103
